-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2025 through 01/01/2026 in LST
Location: Latitude  26.22   Longitude 118.86 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 496.57 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (Wh/m^2) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (Wh/m^2) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_SW_DNI,T2M,RH2M
2025,1,1,0,0.0,0.0,0.0,2.81,97.25
2025,1,1,1,0.0,0.0,0.0,2.35,98.76
2025,1,1,2,0.0,0.0,0.0,1.97,100.0
2025,1,1,3,0.0,0.0,0.0,1.64,100.0
2025,1,1,4,0.0,0.0,0.0,1.37,100.0
2025,1,1,5,0.0,0.0,0.0,1.21,100.0
2025,1,1,6,0.0,0.0,0.0,1.15,100.0
2025,1,1,7,56.9,36.13,145.84,2.87,95.57
2025,1,1,8,242.32,81.65,519.64,6.42,72.02
2025,1,1,9,411.9,112.76,639.49,9.24,58.25
2025,1,1,10,550.97,133.89,718.4,11.54,51.52
2025,1,1,11,630.5,134.78,764.81,13.37,47.85
2025,1,1,12,646.92,128.66,793.92,14.78,45.99
2025,1,1,13,588.22,120.04,774.63,15.66,46.52
2025,1,1,14,467.0,113.26,700.57,15.9,49.35
2025,1,1,15,296.95,92.12,575.44,15.16,57.69
2025,1,1,16,114.95,54.78,344.66,13.02,76.81
2025,1,1,17,4.35,6.06,6.88,10.22,72.46
2025,1,1,18,0.0,0.0,0.0,8.92,74.84
2025,1,1,19,0.0,0.0,0.0,7.97,77.14
2025,1,1,20,0.0,0.0,0.0,7.24,78.69
2025,1,1,21,0.0,0.0,0.0,6.68,80.06
2025,1,1,22,0.0,0.0,0.0,6.19,81.68
2025,1,1,23,0.0,0.0,0.0,5.62,84.3
2025,1,2,0,0.0,0.0,0.0,4.98,87.62
2025,1,2,1,0.0,0.0,0.0,4.29,91.41
2025,1,2,2,0.0,0.0,0.0,3.45,96.38
2025,1,2,3,0.0,0.0,0.0,2.82,100.0
2025,1,2,4,0.0,0.0,0.0,2.37,100.0
2025,1,2,5,0.0,0.0,0.0,2.08,100.0
2025,1,2,6,0.0,0.0,0.0,1.83,100.0
2025,1,2,7,58.83,36.13,181.04,3.87,98.84
2025,1,2,8,241.73,82.76,521.81,7.99,80.51
2025,1,2,9,425.15,99.65,703.61,11.75,63.14
2025,1,2,10,568.85,110.08,796.8,14.47,49.84
2025,1,2,11,650.67,116.66,836.15,16.06,44.28
2025,1,2,12,658.47,117.28,839.44,17.07,42.03
2025,1,2,13,602.8,111.06,816.11,17.42,42.31
2025,1,2,14,483.12,103.38,753.97,17.08,45.26
2025,1,2,15,311.73,85.5,636.54,16.48,53.57
2025,1,2,16,121.0,54.44,377.25,13.71,76.56
2025,1,2,17,4.97,6.97,12.06,10.99,69.53
2025,1,2,18,0.0,0.0,0.0,9.75,73.05
2025,1,2,19,0.0,0.0,0.0,8.73,77.34
2025,1,2,20,0.0,0.0,0.0,7.92,80.88
2025,1,2,21,0.0,0.0,0.0,7.51,82.3
2025,1,2,22,0.0,0.0,0.0,7.25,83.02
2025,1,2,23,0.0,0.0,0.0,6.32,86.7
2025,1,3,0,0.0,0.0,0.0,5.14,91.81
2025,1,3,1,0.0,0.0,0.0,4.13,96.65
2025,1,3,2,0.0,0.0,0.0,3.7,98.65
2025,1,3,3,0.0,0.0,0.0,3.2,99.01
2025,1,3,4,0.0,0.0,0.0,2.87,98.09
2025,1,3,5,0.0,0.0,0.0,2.77,95.73
2025,1,3,6,0.0,0.0,0.0,2.51,95.05
2025,1,3,7,60.45,35.47,184.73,4.16,91.76
2025,1,3,8,251.07,75.32,584.62,7.59,75.81
2025,1,3,9,428.8,103.23,703.73,10.77,63.22
2025,1,3,10,571.2,119.7,781.4,12.94,53.53
2025,1,3,11,651.3,124.25,815.72,14.31,46.56
2025,1,3,12,675.72,113.05,865.01,15.03,43.23
2025,1,3,13,620.53,109.58,844.34,15.18,42.24
2025,1,3,14,499.0,102.34,785.76,14.71,43.79
2025,1,3,15,324.27,85.46,669.0,13.4,50.07
2025,1,3,16,128.12,55.84,404.68,10.56,70.56
2025,1,3,17,5.6,7.81,14.33,5.73,90.87
2025,1,3,18,0.0,0.0,0.0,4.05,95.48
2025,1,3,19,0.0,0.0,0.0,3.16,97.33
2025,1,3,20,0.0,0.0,0.0,2.3,99.88
2025,1,3,21,0.0,0.0,0.0,1.64,100.0
2025,1,3,22,0.0,0.0,0.0,1.14,100.0
2025,1,3,23,0.0,0.0,0.0,0.88,100.0
2025,1,4,0,0.0,0.0,0.0,0.68,100.0
2025,1,4,1,0.0,0.0,0.0,1.66,100.0
2025,1,4,2,0.0,0.0,0.0,2.61,100.0
2025,1,4,3,0.0,0.0,0.0,3.46,100.0
2025,1,4,4,0.0,0.0,0.0,3.85,100.0
2025,1,4,5,0.0,0.0,0.0,3.89,100.0
2025,1,4,6,0.0,0.0,0.0,3.77,100.0
2025,1,4,7,51.67,43.75,89.37,4.89,98.5
2025,1,4,8,199.93,108.83,299.33,7.33,89.12
2025,1,4,9,338.58,178.64,360.81,9.66,79.34
2025,1,4,10,457.48,251.84,356.04,11.69,69.52
2025,1,4,11,551.4,253.49,461.69,13.24,62.54
2025,1,4,12,649.8,195.93,710.44,14.26,58.54
2025,1,4,13,601.55,112.66,819.59,14.64,57.69
2025,1,4,14,508.4,96.79,814.34,14.12,59.81
2025,1,4,15,328.8,85.24,678.03,12.93,65.33
2025,1,4,16,128.68,57.4,383.64,10.9,78.95
2025,1,4,17,5.4,7.49,16.89,6.37,99.18
2025,1,4,18,0.0,0.0,0.0,5.05,100.0
2025,1,4,19,0.0,0.0,0.0,4.42,100.0
2025,1,4,20,0.0,0.0,0.0,3.91,100.0
2025,1,4,21,0.0,0.0,0.0,3.47,100.0
2025,1,4,22,0.0,0.0,0.0,3.61,100.0
2025,1,4,23,0.0,0.0,0.0,3.89,100.0
2025,1,5,0,0.0,0.0,0.0,3.5,100.0
2025,1,5,1,0.0,0.0,0.0,2.87,100.0
2025,1,5,2,0.0,0.0,0.0,2.14,100.0
2025,1,5,3,0.0,0.0,0.0,1.58,100.0
2025,1,5,4,0.0,0.0,0.0,1.72,100.0
2025,1,5,5,0.0,0.0,0.0,2.43,100.0
2025,1,5,6,0.0,0.0,0.0,2.45,97.84
2025,1,5,7,50.1,42.07,89.69,4.35,93.51
2025,1,5,8,217.05,103.65,389.2,7.19,79.56
2025,1,5,9,379.55,138.7,531.78,9.89,71.58
2025,1,5,10,523.7,168.12,614.82,12.67,60.46
2025,1,5,11,585.17,202.81,582.87,14.47,53.34
2025,1,5,12,651.0,166.44,759.33,15.48,49.92
2025,1,5,13,597.25,125.56,770.49,16.02,49.35
2025,1,5,14,464.7,120.97,679.07,15.74,51.68
2025,1,5,15,296.75,102.0,533.81,14.7,57.45
2025,1,5,16,116.38,61.54,284.24,12.06,77.85
2025,1,5,17,5.68,8.17,4.93,7.78,93.07
2025,1,5,18,0.0,0.0,0.0,6.63,95.59
2025,1,5,19,0.0,0.0,0.0,6.0,98.24
2025,1,5,20,0.0,0.0,0.0,5.39,100.0
2025,1,5,21,0.0,0.0,0.0,4.92,100.0
2025,1,5,22,0.0,0.0,0.0,4.61,100.0
2025,1,5,23,0.0,0.0,0.0,4.49,100.0
2025,1,6,0,0.0,0.0,0.0,4.02,100.0
2025,1,6,1,0.0,0.0,0.0,3.23,100.0
2025,1,6,2,0.0,0.0,0.0,2.69,100.0
2025,1,6,3,0.0,0.0,0.0,2.32,100.0
2025,1,6,4,0.0,0.0,0.0,1.97,100.0
2025,1,6,5,0.0,0.0,0.0,1.78,100.0
2025,1,6,6,0.0,0.0,0.0,2.17,100.0
2025,1,6,7,57.15,36.19,147.89,3.33,93.25
2025,1,6,8,248.55,81.69,543.25,6.04,79.96
2025,1,6,9,426.27,113.22,680.89,9.94,62.83
2025,1,6,10,572.3,123.85,779.61,13.2,47.38
2025,1,6,11,658.12,124.22,828.48,15.09,40.19
2025,1,6,12,683.22,107.42,880.15,16.01,38.44
2025,1,6,13,615.28,123.84,801.06,16.32,38.81
2025,1,6,14,489.62,116.03,742.73,15.93,41.64
2025,1,6,15,314.73,92.3,596.09,14.97,50.15
2025,1,6,16,122.0,60.24,314.0,12.52,72.9
2025,1,6,17,6.07,8.8,4.8,9.53,68.71
2025,1,6,18,0.0,0.0,0.0,8.32,70.68
2025,1,6,19,0.0,0.0,0.0,7.04,75.8
2025,1,6,20,0.0,0.0,0.0,5.99,80.2
2025,1,6,21,0.0,0.0,0.0,5.34,83.06
2025,1,6,22,0.0,0.0,0.0,4.9,85.13
2025,1,6,23,0.0,0.0,0.0,4.07,89.83
2025,1,7,0,0.0,0.0,0.0,2.99,96.71
2025,1,7,1,0.0,0.0,0.0,2.13,100.0
2025,1,7,2,0.0,0.0,0.0,1.54,100.0
2025,1,7,3,0.0,0.0,0.0,1.09,100.0
2025,1,7,4,0.0,0.0,0.0,0.64,100.0
2025,1,7,5,0.0,0.0,0.0,0.46,100.0
2025,1,7,6,0.0,0.0,0.0,0.3,100.0
2025,1,7,7,50.33,43.88,66.13,1.84,95.96
2025,1,7,8,219.62,122.3,345.17,5.71,74.78
2025,1,7,9,376.33,172.28,439.55,8.61,57.31
2025,1,7,10,511.95,203.26,527.95,10.75,51.78
2025,1,7,11,603.72,152.35,717.33,12.36,49.3
2025,1,7,12,604.22,215.93,585.63,13.53,47.79
2025,1,7,13,540.5,151.63,645.62,14.16,47.56
2025,1,7,14,425.25,128.03,581.59,14.22,48.87
2025,1,7,15,272.38,103.53,469.24,13.31,55.07
2025,1,7,16,110.28,62.74,251.45,10.8,79.94
2025,1,7,17,5.93,8.91,3.94,7.42,82.45
2025,1,7,18,0.0,0.0,0.0,6.35,83.33
2025,1,7,19,0.0,0.0,0.0,5.71,84.11
2025,1,7,20,0.0,0.0,0.0,5.19,85.13
2025,1,7,21,0.0,0.0,0.0,4.6,87.09
2025,1,7,22,0.0,0.0,0.0,4.0,89.5
2025,1,7,23,0.0,0.0,0.0,3.27,92.62
2025,1,8,0,0.0,0.0,0.0,2.57,95.64
2025,1,8,1,0.0,0.0,0.0,1.99,97.7
2025,1,8,2,0.0,0.0,0.0,1.41,99.77
2025,1,8,3,0.0,0.0,0.0,0.94,100.0
