Hour,丰水期,枯水期
0,2.4999999999999996,1.25
1,2.5340741737109314,1.258518543427733
2,2.6339745962155616,1.2834936490538904
3,2.792893218813452,1.323223304703363
4,3.0,1.3749999999999998
5,3.2411809548974793,1.4352952387243698
6,3.5,1.5
7,3.7588190451025207,1.5647047612756302
8,3.9999999999999996,1.625
9,4.207106781186548,1.6767766952966368
10,4.366025403784438,1.7165063509461096
11,4.465925826289069,1.741481456572267
12,4.5,1.75
13,4.465925826289069,1.741481456572267
14,4.366025403784438,1.7165063509461096
15,4.207106781186548,1.6767766952966368
16,3.9999999999999996,1.625
17,3.7588190451025207,1.5647047612756302
18,3.5,1.5
19,3.2411809548974793,1.4352952387243698
20,3.0,1.375
21,2.7928932188134525,1.323223304703363
22,2.6339745962155616,1.2834936490538904
23,2.5340741737109314,1.258518543427733
