Hour,晴天_2025-04-03_GHI,晴天_2025-04-03_PV,阴天_2025-02-19_GHI,阴天_2025-02-19_PV,波动日_2025-04-19_GHI,波动日_2025-04-19_PV
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,57.28,1.4501993160672002,0.0,0.0,48.9,1.1763847726951875
7,259.83,6.305853858429572,22.73,0.579189590483972,127.28,2.9933033311766
8,469.5,10.916731369467186,48.45,1.2230300425650467,174.48,4.0082131412238
9,658.0,14.667174897235,70.32,1.7624974571189995,330.7,7.371082340631688
10,812.1,17.518290006840193,89.07,2.220808513419797,138.23,3.139689672319872
11,900.58,19.035751915634588,102.78,2.5502326806283877,461.08,9.971030874931548
12,972.35,20.240285414159047,111.0,2.7443018234887497,318.73,7.047411522704572
13,889.95,18.732589714183547,68.6,1.70324231440475,101.8,2.3303216718807502
14,729.5,15.75213513849219,96.47,2.386384352599672,82.1,1.8931769008646875
15,531.25,11.864571147841797,32.2,0.80411887674475,37.65,0.8790475412242967
16,318.23,7.3573014685457725,21.12,0.5296673044608,27.52,0.6474174319295999
17,115.22,2.7892563261780876,5.68,0.1435810393742,13.12,0.31105209476160006
18,4.32,0.1083739608648,0.0,0.0,1.1,0.026269700358687503
19,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0
