epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3113,2.81552,3.23791,1.38211,0.00601,0.09237,0.00794,0.00283,2.5445,3.69694,1.30531,0.000464425,0.000464425,0.000464425
2,20.2144,2.51019,2.17656,1.21502,0.04164,0.63901,0.29158,0.11225,2.34903,2.8685,1.3374,0.000922131,0.000922131,0.000922131
3,30.1324,2.40572,2.16716,1.27889,0.31768,0.29629,0.17796,0.06867,2.46179,2.66038,1.39858,0.00136097,0.00136097,0.00136097
4,40.0379,2.39777,2.05607,1.24707,0.44412,0.38157,0.32898,0.13239,2.28395,2.26412,1.27147,0.00134412,0.00134412,0.00134412
5,49.8745,2.31766,1.95532,1.19461,0.5516,0.44034,0.41111,0.17737,2.21317,1.96096,1.30309,0.00131582,0.00131582,0.00131582
6,59.7428,2.24629,1.94488,1.21069,0.54171,0.44425,0.4107,0.1731,2.18366,2.06264,1.28706,0.00128753,0.00128753,0.00128753
7,69.5841,2.22854,1.87729,1.20434,0.53051,0.43315,0.41254,0.17359,2.16379,1.95926,1.28028,0.00125923,0.00125923,0.00125923
8,79.4409,2.23094,1.89316,1.19911,0.53353,0.46614,0.42587,0.18791,2.10574,1.9741,1.24606,0.00123094,0.00123094,0.00123094
9,89.2693,2.18449,1.81365,1.14366,0.53604,0.4413,0.41578,0.1782,2.1675,1.85544,1.24435,0.00120265,0.00120265,0.00120265
10,99.0841,2.22302,1.81315,1.17575,0.50855,0.46302,0.42302,0.17449,2.19267,1.88498,1.22388,0.00117435,0.00117435,0.00117435
11,108.931,2.17773,1.7775,1.16014,0.52268,0.49182,0.45003,0.19534,2.07501,1.9205,1.22871,0.00114606,0.00114606,0.00114606
12,118.777,2.11998,1.74544,1.15959,0.57456,0.47705,0.46003,0.2029,2.09749,1.7541,1.22532,0.00111776,0.00111776,0.00111776
13,128.906,2.13063,1.77378,1.15377,0.5672,0.481,0.45756,0.21416,2.03481,1.71322,1.22002,0.00108947,0.00108947,0.00108947
14,139.29,2.08733,1.75918,1.17218,0.55389,0.48127,0.45135,0.21373,2.03039,1.71567,1.21022,0.00106118,0.00106118,0.00106118
15,149.618,2.05994,1.71408,1.12974,0.55889,0.48392,0.4584,0.214,1.994,1.69026,1.19963,0.00103288,0.00103288,0.00103288
16,159.493,2.06106,1.72348,1.14326,0.59918,0.48707,0.4827,0.22707,1.97921,1.63564,1.1522,0.00100459,0.00100459,0.00100459
17,169.981,2.05324,1.70236,1.12208,0.52278,0.48939,0.45485,0.19961,2.04291,1.69234,1.17771,0.000976293,0.000976293,0.000976293
18,180.694,2.04003,1.71025,1.12679,0.5669,0.49029,0.46789,0.20793,2.09227,1.71718,1.18011,0.000947999,0.000947999,0.000947999
19,191.215,2.0645,1.72375,1.14579,0.56834,0.50868,0.48286,0.22869,1.97986,1.72005,1.20136,0.000919704,0.000919704,0.000919704
20,201.53,2.00233,1.74641,1.14035,0.55381,0.50452,0.47181,0.21532,2.00625,1.73295,1.2109,0.00089141,0.00089141,0.00089141
21,211.441,2.01465,1.64126,1.08812,0.58972,0.49975,0.48436,0.22748,1.93865,1.69019,1.16822,0.000863116,0.000863116,0.000863116
22,221.971,2.03382,1.63225,1.09429,0.5684,0.50759,0.48877,0.22363,1.9929,1.63882,1.16745,0.000834822,0.000834822,0.000834822
23,232.691,1.99977,1.67133,1.10597,0.56914,0.51061,0.49024,0.22849,1.94968,1.61952,1.15519,0.000806528,0.000806528,0.000806528
24,243.208,1.94987,1.63684,1.09316,0.59171,0.51361,0.50054,0.23673,1.9155,1.62437,1.14316,0.000778233,0.000778233,0.000778233
25,253.069,1.93353,1.70143,1.12102,0.57697,0.50123,0.48887,0.22787,1.95933,1.65593,1.14963,0.000749939,0.000749939,0.000749939
26,262.917,1.95245,1.65305,1.1193,0.5871,0.49749,0.48625,0.22964,1.96479,1.63122,1.15719,0.000721645,0.000721645,0.000721645
27,272.836,1.991,1.61142,1.08267,0.58892,0.50332,0.49159,0.23123,1.99014,1.68654,1.17134,0.000693351,0.000693351,0.000693351
28,282.721,1.90685,1.68154,1.11096,0.58033,0.5131,0.49696,0.24327,1.92621,1.58505,1.13547,0.000665057,0.000665057,0.000665057
29,292.689,1.91607,1.62823,1.08791,0.60405,0.50834,0.49951,0.23655,1.92356,1.57697,1.11779,0.000636762,0.000636762,0.000636762
30,302.543,1.94372,1.6228,1.07869,0.60187,0.50488,0.49405,0.23091,1.8925,1.56576,1.13672,0.000608468,0.000608468,0.000608468
31,312.411,1.87269,1.62113,1.09416,0.60528,0.5094,0.49702,0.23632,1.91801,1.60843,1.13534,0.000580174,0.000580174,0.000580174
32,322.268,1.93679,1.59631,1.0675,0.60721,0.49432,0.49594,0.23755,1.89928,1.5843,1.14115,0.00055188,0.00055188,0.00055188
33,332.136,1.94805,1.54751,1.06376,0.59096,0.5184,0.50524,0.23825,1.88936,1.60191,1.13047,0.000523586,0.000523586,0.000523586
34,342.03,1.86955,1.61678,1.09926,0.62147,0.5047,0.50906,0.24563,1.86859,1.65267,1.12424,0.000495291,0.000495291,0.000495291
35,351.886,1.88223,1.6274,1.09474,0.60275,0.486,0.49235,0.22856,1.9316,1.59831,1.12069,0.000466997,0.000466997,0.000466997
36,361.733,1.89752,1.57664,1.06636,0.59996,0.51394,0.50755,0.24044,1.89023,1.55715,1.11911,0.000438703,0.000438703,0.000438703
37,371.596,1.86643,1.59177,1.08987,0.59827,0.51212,0.51245,0.24856,1.86413,1.59114,1.12826,0.000410409,0.000410409,0.000410409
38,381.459,1.85701,1.57263,1.08022,0.61414,0.50103,0.50785,0.25387,1.84307,1.527,1.12174,0.000382115,0.000382115,0.000382115
39,391.294,1.88418,1.55539,1.07067,0.60434,0.49825,0.49648,0.23239,1.89722,1.56329,1.1133,0.00035382,0.00035382,0.00035382
40,401.114,1.86929,1.53646,1.04908,0.59225,0.52375,0.5134,0.25222,1.83728,1.52316,1.11126,0.000325526,0.000325526,0.000325526
41,410.142,1.85311,1.52993,1.07566,0.60975,0.50747,0.51091,0.25036,1.84711,1.5785,1.13486,0.000297232,0.000297232,0.000297232
42,419.042,1.85586,1.50342,1.0688,0.5943,0.51256,0.51311,0.24809,1.83661,1.58025,1.11392,0.000268938,0.000268938,0.000268938
43,427.917,1.8264,1.49062,1.06618,0.60046,0.52461,0.51784,0.25506,1.81761,1.53702,1.10796,0.000240644,0.000240644,0.000240644
44,436.799,1.81524,1.46143,1.07196,0.59366,0.5307,0.51647,0.25307,1.83382,1.55112,1.11064,0.000212349,0.000212349,0.000212349
45,445.702,1.78282,1.44797,1.06562,0.62985,0.51018,0.51089,0.25217,1.83517,1.57828,1.10546,0.000184055,0.000184055,0.000184055
